100,23,-6.36
100,23,-6.39
100,23,-6.35
100,23,-6.35
100,23,-6.33
100,23,-6.4
200,23,-5.52
200,23,-5.5
200,23,-5.47
200,23,-5.28
200,23,-5.28
200,23,-5.3
300,23,-4.66
300,23,-4.62
300,23,-4.58
300,23,-4.49
300,23,-4.49
300,23,-4.48
350,23,-4.34
350,23,-4.31
350,23,-4.36
350,23,-4.23
350,23,-4.22
350,23,-4.22
371,23,-4.18
371,23,-4.17
371,23,-4.18
371,23,-4.09
371,23,-4.11
371,23,-4.08
48,33.4,-6.47
48,33,-6.45
48,,-6.46
42,33,-6.43
42,33,-6.42
41,33,-6.44
103,33,-6.17
102,33,-6.17
102,33,-6.21
107,33,-6.1
100,33,-6.09
100,33,-6.09
202,33,-5.1
200,33,-5.12
200,33,-5.2
200,33,-5.1
200,33,-5.08
200,33,-5.01
301,33,-4.41
300,33,-4.39
300,33,-4.5
300,33,-4.44
300,33,-4.35
300,33,-4.2
350,32,-4.21
350,33,-4.26
350,33,-4.43
350,33,-4.22
350,33,-4.14
350,33,-4.04
374,31,-4.12
374,33,-4.29
374,33,-4.23
374,33,-3.89
374,33,-3.96
374,33,-4.24
